,Expense_id,ExpenseName
159,MAINTENANCE-ELECTRIC MOTORS,MAINTENANCE-ELECTRIC MOTORS
160,STP-OPERATING EXPENSE,STP-OPERATING EXPENSE
161,SECURITY EQUIPMENT,SECURITY EQUIPMENT
162,RENTAL-COMPUTER HARDWARE,RENTAL-COMPUTER HARDWARE
163,ADVERTISING/PUBLICATION,ADVERTISING/PUBLICATION
164,MINOR COMMUNICATIONS EQUIPMENT,MINOR COMMUNICATIONS EQUIPMENT
165,GARBAGE/REFUSE COLLECTION,GARBAGE/REFUSE COLLECTION
166,SERVICES-DUMPSTER COLLECTION,SERVICES-DUMPSTER COLLECTION
167,RENTAL-REAL ESTATE-OTHER,RENTAL-REAL ESTATE-OTHER
168,METERS,METERS
169,METER CARD-SEAL-GRAPH-TAPE,METER CARD-SEAL-GRAPH-TAPE
170,SERVICES-CREDIT CARD FEES,SERVICES-CREDIT CARD FEES
171,"POLES, TOWERS, STEEL","POLES, TOWERS, STEEL"
172,GRANTS TO SUBRECIPIENTS,GRANTS TO SUBRECIPIENTS
173,SEVERANCE PAY,SEVERANCE PAY
174,RENTAL-REAL ESTATE-WAREHOUSE,RENTAL-REAL ESTATE-WAREHOUSE
175,SERVICES-TRANSLATORS,SERVICES-TRANSLATORS
176,ENERGY EFFICIENCY REBATES-AE,ENERGY EFFICIENCY REBATES-AE
177,INTERDEPARTMENTAL CHARGES,INTERDEPARTMENTAL CHARGES
178,SERVICES-TEMPORARY EMPLOYME,SERVICES-TEMPORARY EMPLOYME
179,SERVICES-LEGAL FEES,SERVICES-LEGAL FEES
180,SERVICES-SECURITY,SERVICES-SECURITY
181,SERVICES-ARMORED COURIER,SERVICES-ARMORED COURIER
182,SERVICES-COLLECTION COSTS,SERVICES-COLLECTION COSTS
183,RENTAL-SAFE DEPOSIT/POSTAL,RENTAL-SAFE DEPOSIT/POSTAL
184,MAINTENANCE-OFFICE EQUIPMEN,MAINTENANCE-OFFICE EQUIPMEN
185,CONCESSION OPERATIONS,CONCESSION OPERATIONS
186,SERVICES-INTERPRETATION,SERVICES-INTERPRETATION
187,POWER PLANT FUEL-BIOMASS,POWER PLANT FUEL-BIOMASS
188,INTERPEPTL-PW CSD CHARGES,INTERPEPTL-PW CSD CHARGES
189,MAINTENANCE-CHILLERS,MAINTENANCE-CHILLERS
190,SERVICES-SURVEY,SERVICES-SURVEY
191,REGULAR WAGES - PART-TIME,REGULAR WAGES - PART-TIME
192,CLOTHING ALLOWANCES,CLOTHING ALLOWANCES
193,REGULAR WAGES - CIVIL SERVICES,REGULAR WAGES - CIVIL SERVICES
194,COMPUTER HARDWARE,COMPUTER HARDWARE
195,RENTAL-COPY MACHINES,RENTAL-COPY MACHINES
196,BOND/THEFT/PROF LIAB INSURANCE,BOND/THEFT/PROF LIAB INSURANCE
197,FIRE/EXTEND COVERAGE INSURANCE,FIRE/EXTEND COVERAGE INSURANCE
198,LEGAL CLAIMS/DAMAGES,LEGAL CLAIMS/DAMAGES
199,TRAINING-CITY WIDE,TRAINING-CITY WIDE
200,FEDERAL UNEMPLOYMENT TAX CO,FEDERAL UNEMPLOYMENT TAX CO
201,INVN ADJ-PURCHASE PRICE,INVN ADJ-PURCHASE PRICE
202,INVN ADJ-PHYSICAL INVENTORY,INVN ADJ-PHYSICAL INVENTORY
203,SERVICES-MEDICAL/SURGICAL,SERVICES-MEDICAL/SURGICAL
204,INTERDEPTL-COUNCIL PRIORITIES,INTERDEPTL-COUNCIL PRIORITIES
205,CLAIMS-AUTO LIABILITY,CLAIMS-AUTO LIABILITY
206,CLAIMS-GENERAL LIABILITY,CLAIMS-GENERAL LIABILITY
207,CLAIMS ACCRUAL - FSD ONLY,CLAIMS ACCRUAL - FSD ONLY
208,ASSIGNMENT PAY,ASSIGNMENT PAY
209,RADIO COMMUNICATION EQUIPMENT,RADIO COMMUNICATION EQUIPMENT
210,EXPENSE REFUNDS,EXPENSE REFUNDS
211,EDUCATIONAL INCENTIVE PAY,EDUCATIONAL INCENTIVE PAY
212,WASTEWATER SERVICE,WASTEWATER SERVICE
213,VENDOR RESTOCK COST,VENDOR RESTOCK COST
214,SERVICES-INTERNET/CABLE,SERVICES-INTERNET/CABLE
215,TELEPHONE-LONG DISTANCE,TELEPHONE-LONG DISTANCE
216,RENTAL-REAL ESTATE-OFFICE,RENTAL-REAL ESTATE-OFFICE
217,WIRELESS COMMUNICATIONS-MAINT,WIRELESS COMMUNICATIONS-MAINT
218,WIRELESS COMMUNICATION-INSTAL,WIRELESS COMMUNICATION-INSTAL
219,MICROWAVE & MICROWAVE EQUIPMNT,MICROWAVE & MICROWAVE EQUIPMNT
220,PERSONNEL SAVINGS,PERSONNEL SAVINGS
221,CONTRIBUTION TO FIREFIGHTER RT,CONTRIBUTION TO FIREFIGHTER RT
222,EDUCATIONAL TRAVEL,EDUCATIONAL TRAVEL
223,UTIL REV BND COMMISSION EXP,UTIL REV BND COMMISSION EXP
224,COMMERCIAL PAPER ADMIN EXP,COMMERCIAL PAPER ADMIN EXP
225,STP FAS 148,STP FAS 148
226,COMPENSATION ADJUSTMENT,COMPENSATION ADJUSTMENT
227,ACCRUED PAYROLL,ACCRUED PAYROLL
228,CAPITAL LEASE PRINCIPAL,CAPITAL LEASE PRINCIPAL
229,CTM SUPPORT,CTM SUPPORT
230,ADMINISTRATIVE SUPPORT,ADMINISTRATIVE SUPPORT
231,WORKERS' COMPENSATION,WORKERS' COMPENSATION
232,REGIONAL RADIO SYSTEM,REGIONAL RADIO SYSTEM
233,TRF TO GENERAL FUND,TRF TO GENERAL FUND
234,TRF TO CIP MGM - CPM,TRF TO CIP MGM - CPM
235,TRF TO ECONOMIC DEVELOPMENT,TRF TO ECONOMIC DEVELOPMENT
236,TRF TO BUILDING SVCS CIP FUND,TRF TO BUILDING SVCS CIP FUND
237,SERVICES-VETERINARY,SERVICES-VETERINARY
238,BACKCHARGED SALARY & FRINGES,BACKCHARGED SALARY & FRINGES
239,INTERPEPTL-PW PMD CHARGES,INTERPEPTL-PW PMD CHARGES
240,SERVICES-LANDFILL SERVICES,SERVICES-LANDFILL SERVICES
241,SERVICES-COMPOST PROCESSING,SERVICES-COMPOST PROCESSING
242,SERVICES-WASTE COLLECTION ASST,SERVICES-WASTE COLLECTION ASST
243,CHEMICALS,CHEMICALS
244,SERVICES-RECYCLING PROCESSING,SERVICES-RECYCLING PROCESSING
245,TRASH CARTS,TRASH CARTS
246,INTERDEPT-SERVICES ELECTRICAL,INTERDEPT-SERVICES ELECTRICAL
247,COMMERCIAL RECYCLING REBATE,COMMERCIAL RECYCLING REBATE
248,HOME COMPOSTING REBATE,HOME COMPOSTING REBATE
249,ZERO WASTE EVENT REBATE,ZERO WASTE EVENT REBATE
250,RECYCLING CARTS,RECYCLING CARTS
251,ORGANICS CARTS,ORGANICS CARTS
252,SERVICES-TOWING,SERVICES-TOWING
253,SERVICES-IT INSTALLATIONS,SERVICES-IT INSTALLATIONS
254,GAS/HEATING FUELS,GAS/HEATING FUELS
255,INTERDEPT-SERVICES HVAC,INTERDEPT-SERVICES HVAC
256,INTERDEPT-SERVICES CARPENTRY,INTERDEPT-SERVICES CARPENTRY
257,INTERDEPT-SERVICES PLUMBING,INTERDEPT-SERVICES PLUMBING
258,OTHER EQUIPMENT,OTHER EQUIPMENT
259,MARKET STUDY ADJUSTMENT,MARKET STUDY ADJUSTMENT
260,LIABILITY RESERVE,LIABILITY RESERVE
261,TRF TO GO DEBT SERVICE,TRF TO GO DEBT SERVICE
262,TRF TO RESOURCE RECOVERY CIP,TRF TO RESOURCE RECOVERY CIP
263,WIRELESS COMMUNICATION-TOWERS,WIRELESS COMMUNICATION-TOWERS
264,VEHICLE/MOTORED EQUIPMENT,VEHICLE/MOTORED EQUIPMENT
265,BAD DEBT EXPENSE,BAD DEBT EXPENSE
266,CTECC SUPPORT,CTECC SUPPORT
267,UTILITY BILLING SYSTEM SUPPORT,UTILITY BILLING SYSTEM SUPPORT
268,TRF TO RECLAIMED WATER FUND,TRF TO RECLAIMED WATER FUND
269,BUILDING/REMODEL,BUILDING/REMODEL
270,SERVICES-IT,SERVICES-IT
271,CONTRIBUTION TO POLICE RET,CONTRIBUTION TO POLICE RET
272,SERVICES - CONTRACUTAL HVAC,SERVICES - CONTRACUTAL HVAC
273,BOILER EQUIPMENT,BOILER EQUIPMENT
274,SMALL ELECTRIC MOTORS-WATER UT,SMALL ELECTRIC MOTORS-WATER UT
275,SUPPLEMENTAL RETIREMENT CONTRIBUTION,SUPPLEMENTAL RETIREMENT CONTRIBUTION
276,PRINCIPAL PAYMENT D/S FUNDS,PRINCIPAL PAYMENT D/S FUNDS
277,INTEREST PAYMENT D/S FUNDS,INTEREST PAYMENT D/S FUNDS
278,TRF TO WATER CIP FUND,TRF TO WATER CIP FUND
279,TRF CRF TO DEBT DEFEASANCE,TRF CRF TO DEBT DEFEASANCE
280,TRF OPERATING TO DEBT DEFEASANCE,TRF OPERATING TO DEBT DEFEASANCE
281,SERVICE INCENTIVE ENHANCEMENT,SERVICE INCENTIVE ENHANCEMENT
282,MAINTENANCE-PIPELINES,MAINTENANCE-PIPELINES
283,HOUSEHOLD EFFICIENCY-AWU,HOUSEHOLD EFFICIENCY-AWU
284,IRRIGATION EFFICIENCY-AWU,IRRIGATION EFFICIENCY-AWU
285,LANDSCAPE CONVERSION REBATE-AWU,LANDSCAPE CONVERSION REBATE-AWU
286,PRESSURE REDUCTION VALVE REBATE-AWU,PRESSURE REDUCTION VALVE REBATE-AWU
287,WATER SERVICES INTERLOCAL,WATER SERVICES INTERLOCAL
288,COMMERCIAL INCENTIVES-AWU,COMMERCIAL INCENTIVES-AWU
289,HELP PROGRAM-AWU,HELP PROGRAM-AWU
290,RAINWATER HARVESTING REBATE-AWU,RAINWATER HARVESTING REBATE-AWU
291,POLICE SUPPLIES,POLICE SUPPLIES
292,FOOD/STORAGE FOR ANIMALS,FOOD/STORAGE FOR ANIMALS
293,IMPROVEMENTS TO GROUNDS,IMPROVEMENTS TO GROUNDS
294,INDEPENDENT CONSIDERATION,INDEPENDENT CONSIDERATION
295,GRANT COST-SUPPORT OF OTHER,GRANT COST-SUPPORT OF OTHER
296,LAUNDRY EXPENSE,LAUNDRY EXPENSE
297,OTHER COSTS,OTHER COSTS
298,DRAINAGE FEE EXPENSE,DRAINAGE FEE EXPENSE
299,MEDICAL/LAB EQUIPMENT,MEDICAL/LAB EQUIPMENT
300,REIMBURSED OVERTIME - PAID,REIMBURSED OVERTIME - PAID
301,BOND ISSUE COSTS,BOND ISSUE COSTS
302,ARBITRAGE REBATE-ADMIN EXP,ARBITRAGE REBATE-ADMIN EXP
303,GENERAL LIABILITY INSURANCE,GENERAL LIABILITY INSURANCE
304,OTHER CLAIMS/DAMAGES,OTHER CLAIMS/DAMAGES
305,RAW WATER - PURCHASED,RAW WATER - PURCHASED
306,TRF TO RECLAIMED WATER CIP FND,TRF TO RECLAIMED WATER CIP FND
307,TRF TO WASTEWATER CIP FUND,TRF TO WASTEWATER CIP FUND
308,OVERTIME - CIVIL SERVICE,OVERTIME - CIVIL SERVICE
309,SERVICES-BIO SOLID REUSE,SERVICES-BIO SOLID REUSE
310,WASTEWATER SVCS-INTERLOCAL,WASTEWATER SVCS-INTERLOCAL
311,STRUCTURED SETTLEMENTS,STRUCTURED SETTLEMENTS
312,TRF TO WATER OPERATING FUND,TRF TO WATER OPERATING FUND
313,TRF TO WASTEWATER OPERATING FUND,TRF TO WASTEWATER OPERATING FUND
314,FLEET-EQUIP. ACCIDENT REPAIRS,FLEET-EQUIP. ACCIDENT REPAIRS
315,DEPT OH DISTRIBTD TO INDIRE,DEPT OH DISTRIBTD TO INDIRE
316,SERVICES-TRANSCRIPTION LEG/MED,SERVICES-TRANSCRIPTION LEG/MED
317,CAR SHARING PROGRAMS,CAR SHARING PROGRAMS
318,GRANT REIMBURSEMENT,GRANT REIMBURSEMENT
319,TRF TO ELECTRIC OPERATING FUND,TRF TO ELECTRIC OPERATING FUND
320,INTERDEPT- PUBLIC WORKS-OFFICE OF CITY ARCHITECT CHARGES,INTERDEPT- PUBLIC WORKS-OFFICE OF CITY ARCHITECT CHARGES
321,TRF TO CTM CIP FUND,TRF TO CTM CIP FUND
322,INTERDEPTL-SALARIES/FRINGE,INTERDEPTL-SALARIES/FRINGE
323,CASH OVER/SHORT,CASH OVER/SHORT
324,EXP REIMB - PUBLIC INFORMATION REQUESTS,EXP REIMB - PUBLIC INFORMATION REQUESTS
325,TRF TO SPECIAL REVENUE FUND,TRF TO SPECIAL REVENUE FUND
326,TFR TO PARKING MGMT (5610),TFR TO PARKING MGMT (5610)
327,TRF TO MOBILITY CIP,TRF TO MOBILITY CIP
328,EMERGENCY SYSTEMS TELEPHONE,EMERGENCY SYSTEMS TELEPHONE
329,TRF TO PLANNING AND DEV CIP,TRF TO PLANNING AND DEV CIP
330,TRF TO PARKING CIP,TRF TO PARKING CIP
331,TRF TO ABIA 95 D/S FUND,TRF TO ABIA 95 D/S FUND
332,DEBT DEFEASANCE PAYMENT D/S FUNDS,DEBT DEFEASANCE PAYMENT D/S FUNDS
333,REDEMPTION OF PRINCIPAL-GEN,REDEMPTION OF PRINCIPAL-GEN
334,INTEREST-GENERAL,INTEREST-GENERAL
335,COUNCIL BUDGET CARRYFORWARD,COUNCIL BUDGET CARRYFORWARD
336,CONTRIBUTION TO 401A RETIREMENT,CONTRIBUTION TO 401A RETIREMENT
337,STAFF DEV-TRAVEL,STAFF DEV-TRAVEL
338,SERVICES-SIGN LANGUAGE,SERVICES-SIGN LANGUAGE
339,BEDDING/LINEN,BEDDING/LINEN
340,MEDICAL EQUIPMENT (NONCAPITAL),MEDICAL EQUIPMENT (NONCAPITAL)
341,CONSULTANT-BENEFITS/COMPENSAT,CONSULTANT-BENEFITS/COMPENSAT
342,CONSULTANT-FINANCIAL,CONSULTANT-FINANCIAL
343,OFFICE EQUIPMENT,OFFICE EQUIPMENT
344,INTERDEPTL-CLAIMS/COURT COSTS,INTERDEPTL-CLAIMS/COURT COSTS
345,TELEPHONE LANGUAGE LINE,TELEPHONE LANGUAGE LINE
346,TRF TO 2ND STREET TIF FUND,TRF TO 2ND STREET TIF FUND
347,TRF TO GF BUDGET STABLZTN FUND,TRF TO GF BUDGET STABLZTN FUND
348,TRF TO BARTON SPRINGS CONSRVTN,TRF TO BARTON SPRINGS CONSRVTN
349,TRF TO GOLF ENTERPRISE,TRF TO GOLF ENTERPRISE
350,TRF TO HOUSING TRUST FUND,TRF TO HOUSING TRUST FUND
351,TRF TO DEVELOPMENT SERVICES,TRF TO DEVELOPMENT SERVICES
352,TRF TO OTHER ENTERPRISE FUND,TRF TO OTHER ENTERPRISE FUND
353,TRF TO ECON GROWTH_DEV(D5507),TRF TO ECON GROWTH_DEV(D5507)
354,TRF TO LIBRARY CIP FUND,TRF TO LIBRARY CIP FUND
355,TRF TO PARD CIP FUND,TRF TO PARD CIP FUND
356,TRF TO HEALTH CIP FUND,TRF TO HEALTH CIP FUND
357,TRF TO EMS CIP (D9307),TRF TO EMS CIP (D9307)
358,TRF TO ECON INCENTIVE RSV FUND,TRF TO ECON INCENTIVE RSV FUND
359,TRF TO LIABILITY RESERVE,TRF TO LIABILITY RESERVE
360,TRF TO GENERAL FND-EMERGNCY RS,TRF TO GENERAL FND-EMERGNCY RS
361,TRF TO GGCIP FUND,TRF TO GGCIP FUND
362,TRF TO FLEET SERVICES CIP FUND,TRF TO FLEET SERVICES CIP FUND
363,TRF TO FSD CIP FUND,TRF TO FSD CIP FUND
364,SKILL BASED PAY,SKILL BASED PAY
365,RENTAL-OFFICE EQUIPMENT,RENTAL-OFFICE EQUIPMENT
366,PAYMENTS TO SURVIVORS,PAYMENTS TO SURVIVORS
367,REPLACEMENT VEHICLES,REPLACEMENT VEHICLES
368,TRF TO WATERSHED CIP FUND,TRF TO WATERSHED CIP FUND
369,LAND,LAND
370,TRF TO HUD SEC 108 DEBT SVC,TRF TO HUD SEC 108 DEBT SVC
371,SERVICES-CLOSING/TITLE INSUR,SERVICES-CLOSING/TITLE INSUR
372,TRF TO OTHER ENTERPRISE CIP,TRF TO OTHER ENTERPRISE CIP
373,SERVICES-PID CONTRACT EXPENSE,SERVICES-PID CONTRACT EXPENSE
374,TRF TO MUELLER LOCAL GOV CORP,TRF TO MUELLER LOCAL GOV CORP
375,SHIFT DIFFERENTIAL-CIVIL SERV,SHIFT DIFFERENTIAL-CIVIL SERV
376,FIELD TRAINING OFFICER PAY,FIELD TRAINING OFFICER PAY
377,INVN ADJ-OBSOLESCENCE,INVN ADJ-OBSOLESCENCE
378,COMPUTER SOFTWARE,COMPUTER SOFTWARE
379,AUTHORIZED BUDGET,AUTHORIZED BUDGET
380,INTERDEPTL-OTHER,INTERDEPTL-OTHER
381,SERVICES-ACTUARY,SERVICES-ACTUARY
