,Unit_id,UnitName
53,DISTRIBUTION RELIABILITY,DISTRIBUTION RELIABILITY
54,EQUIPMENT & MATERIALS ENGINEERING,EQUIPMENT & MATERIALS ENGINEERING
55,DISASTER RESTORATION,DISASTER RESTORATION
56,DISTRIBUTION FIELD SUPPORT OPERATIONS ADMIN,DISTRIBUTION FIELD SUPPORT OPERATIONS ADMIN
57,DISTRIBUTION METERING OPERATIONS,DISTRIBUTION METERING OPERATIONS
58,DEVELOPMENT ASSISTANCE SUPPORT,DEVELOPMENT ASSISTANCE SUPPORT
59,SUBSTATION CONSTRUCTION & MAIN,SUBSTATION CONSTRUCTION & MAIN
60,COMMUNITY OUTREACH,COMMUNITY OUTREACH
61,CRAFT & FIELD TRAINING,CRAFT & FIELD TRAINING
62,ELECTRIC SYSTEM FIELD OPERATIONS SOUTH ADMIN,ELECTRIC SYSTEM FIELD OPERATIONS SOUTH ADMIN
63,ELECTRIC SYSTEM FIELD OPERATIONS NORTH ADMIN,ELECTRIC SYSTEM FIELD OPERATIONS NORTH ADMIN
64,TRANSMISSION & SUBSTATION CONSTRUCTION & MAINT. ADMIN,TRANSMISSION & SUBSTATION CONSTRUCTION & MAINT. ADMIN
65,CIVIL CONTRACTOR INSPECTION,CIVIL CONTRACTOR INSPECTION
66,DISTRIBUTION CONTRACT INSPECTION,DISTRIBUTION CONTRACT INSPECTION
67,TRANSMISSION & SUBSTATION PROJECT MANAGEMENT,TRANSMISSION & SUBSTATION PROJECT MANAGEMENT
68,DISTRIBUTION SYSTEM ENGINEERING,DISTRIBUTION SYSTEM ENGINEERING
69,TRANSMISSION & DISTRIBUTION ENGINEERING ADMIN.,TRANSMISSION & DISTRIBUTION ENGINEERING ADMIN.
70,SUBSTATION ENGINEERING,SUBSTATION ENGINEERING
71,RELAY ENGINEERING,RELAY ENGINEERING
72,PROTECTION ENGINEERING,PROTECTION ENGINEERING
73,DISTRIBUTION STANDARDS,DISTRIBUTION STANDARDS
74,SYSTEM OPERATIONS,SYSTEM OPERATIONS
75,CONTROL ENGINEERING,CONTROL ENGINEERING
76,METER ENGINEERING & LOGISTICS,METER ENGINEERING & LOGISTICS
77,RELIABILITY & POWER QUALITY ENGINEERING,RELIABILITY & POWER QUALITY ENGINEERING
78,VP ENGINEERING & TECH,VP ENGINEERING & TECH
79,TRANSMISSION ENGINEERING,TRANSMISSION ENGINEERING
80,TRANSMISSION CONSTR AND MAINT.,TRANSMISSION CONSTR AND MAINT.
81,VEGETATION MANAGEMENT CONTRACTOR INSPECTION-TRANSMISSION,VEGETATION MANAGEMENT CONTRACTOR INSPECTION-TRANSMISSION
82,TRANSMISSION PLANNING,TRANSMISSION PLANNING
83,RELAY & CONTROL CONSTRUCTION & MAINT.,RELAY & CONTROL CONSTRUCTION & MAINT.
84,MULTI-FAMILY WX-D.I.,MULTI-FAMILY WX-D.I.
85,SOLAR PV PERFORMANCE BASED INCENTIVE PROGRAM,SOLAR PV PERFORMANCE BASED INCENTIVE PROGRAM
86,SCHOOL BASED EDUCATION,SCHOOL BASED EDUCATION
87,SMART DEVICE AND CONTROLS,SMART DEVICE AND CONTROLS
88,DIRECT INSTALL PARTNERS AND EVENTS,DIRECT INSTALL PARTNERS AND EVENTS
89,SPUR STRATEGIC PARTNERSHIP WUTILITIES & RETAILERS,SPUR STRATEGIC PARTNERSHIP WUTILITIES & RETAILERS
90,KEY ACCOUNTS MANAGEMENT,KEY ACCOUNTS MANAGEMENT
91,CES ADMINISTRATION,CES ADMINISTRATION
92,ADVERTISING-CONSERVATION,ADVERTISING-CONSERVATION
93,GREEN BUILDING PROGRAM,GREEN BUILDING PROGRAM
94,GREEN BUILDING-RESIDENTIAL,GREEN BUILDING-RESIDENTIAL
95,GREEN BUILDING-COMMERCIAL,GREEN BUILDING-COMMERCIAL
96,GREEN BUILDING-EVALUATION & DEVELOPMENT,GREEN BUILDING-EVALUATION & DEVELOPMENT
97,DSM MANAGEMENT,DSM MANAGEMENT
98,DSM PROGRAM MGMT,DSM PROGRAM MGMT
99,DSM PROGRAM SUPPORT,DSM PROGRAM SUPPORT
100,DSM SOLAR PROGRAM,DSM SOLAR PROGRAM
101,EES TECHNICAL SUPPORT,EES TECHNICAL SUPPORT
102,DSM COMMERCIAL/MULTIFAMILYPRGM MGMT,DSM COMMERCIAL/MULTIFAMILYPRGM MGMT
103,RESILIENCY SERVICES,RESILIENCY SERVICES
104,BATTERY DEMAND RESPONSE,BATTERY DEMAND RESPONSE
105,PASSIVE HOUSE INCENTIVE,PASSIVE HOUSE INCENTIVE
106,ELECTRIC VEHICLES,ELECTRIC VEHICLES
107,EMERGING TECHNOLOGIES,EMERGING TECHNOLOGIES
108,MUNICIPAL CONSERVATION PROGRAM,MUNICIPAL CONSERVATION PROGRAM
109,CES CORPORATE,CES CORPORATE
110,BILLING SERVICES ADMIN,BILLING SERVICES ADMIN
111,BILL PRODUCTION,BILL PRODUCTION
112,REV MEASURE-FIELD SERVICES OPS,REV MEASURE-FIELD SERVICES OPS
113,REVENUE MEASUREMENT - CONTRACT COMPLIANCE,REVENUE MEASUREMENT - CONTRACT COMPLIANCE
114,REVENUE MEASUREMENT & CONTROL,REVENUE MEASUREMENT & CONTROL
115,REV MEASUREMENT FIELD SUPP.,REV MEASUREMENT FIELD SUPP.
116,CREDIT MANAGEMENT,CREDIT MANAGEMENT
117,OPERATIONAL REVIEW AND ANALYSIS,OPERATIONAL REVIEW AND ANALYSIS
118,BILL SUPPORT,BILL SUPPORT
119,CURRENT DIVERSION,CURRENT DIVERSION
120,CUSTOMER INFORMATION SYSTEM (CIS) MANAGEMENT,CUSTOMER INFORMATION SYSTEM (CIS) MANAGEMENT
121,UTILITY BILLING SYSTEM RATES DEVELOPMENT,UTILITY BILLING SYSTEM RATES DEVELOPMENT
122,REVENUE MEASUREMENT - METER MAINTENANCE,REVENUE MEASUREMENT - METER MAINTENANCE
123,PAYMENT SERVICES ADMIN,PAYMENT SERVICES ADMIN
124,SOUTH BRANCH OFFICE,SOUTH BRANCH OFFICE
125,"VP, CUSTOMER CARE SERVICES","VP, CUSTOMER CARE SERVICES"
126,OFFICE OF CHIEF CUSTOMER OFFICER,OFFICE OF CHIEF CUSTOMER OFFICER
127,CALL CENTER ADM.,CALL CENTER ADM.
128,CUSTOMER COMPLAINTS & RESOLUTIONS,CUSTOMER COMPLAINTS & RESOLUTIONS
129,CUSTOMER CARE STAFF DEVELOPMENT,CUSTOMER CARE STAFF DEVELOPMENT
130,REMITTANCE PROCESSING,REMITTANCE PROCESSING
131,CALL CNTR OPER SYS. MGMT,CALL CNTR OPER SYS. MGMT
132,"VP, CUSTOMER ACCOUNT MANAGEMENT","VP, CUSTOMER ACCOUNT MANAGEMENT"
133,CALL CENTER,CALL CENTER
134,CALL CENTER CONSUMER SERV.,CALL CENTER CONSUMER SERV.
135,BUSINESS PERFORMANCE QUALITY & IMPROVEMENT,BUSINESS PERFORMANCE QUALITY & IMPROVEMENT
136,CUSTOMER CONTACT CENTER - SMALL COMMERCIAL,CUSTOMER CONTACT CENTER - SMALL COMMERCIAL
137,EAST BRANCH OFFICE,EAST BRANCH OFFICE
138,MULTIFAMILY PARTNERSHIP PRGM,MULTIFAMILY PARTNERSHIP PRGM
139,NORTH BRANCH OFFICE,NORTH BRANCH OFFICE
140,CUSTOMER ASSISTANCE PROGRAM SERVICES,CUSTOMER ASSISTANCE PROGRAM SERVICES
141,UCC-DEV MID-MARKET,UCC-DEV MID-MARKET
142,QUALITY MANAGEMENT ADMIN,QUALITY MANAGEMENT ADMIN
143,311 CALL CENTER OPERATIONS,311 CALL CENTER OPERATIONS
144,311 TECHNOLOGY AND SUPPORT OPERATIONS,311 TECHNOLOGY AND SUPPORT OPERATIONS
145,"311 CLIENT RELATIONS, OUTREACH AND CRM SYSTEMS","311 CLIENT RELATIONS, OUTREACH AND CRM SYSTEMS"
146,311 CITY WIDE INFO CENTER,311 CITY WIDE INFO CENTER
147,POWER SUPPLY,POWER SUPPLY
148,CSS BUSINESS OPERATIONS,CSS BUSINESS OPERATIONS
149,FACILITY MANAGEMENT,FACILITY MANAGEMENT
150,ORGANIZATION DEVELOPMENT,ORGANIZATION DEVELOPMENT
151,HUMAN RESOURCES,HUMAN RESOURCES
152,DATA ANALYTICS & BUSINESS INTELLIGENCE,DATA ANALYTICS & BUSINESS INTELLIGENCE
153,SECURITY MANAGEMENT SERVICES,SECURITY MANAGEMENT SERVICES
154,INVESTIGATION,INVESTIGATION
155,BUSINESS DEV & CONTR.COMPLIANC,BUSINESS DEV & CONTR.COMPLIANC
156,MARKETING COMMUNICATIONS,MARKETING COMMUNICATIONS
157,CORPORATE COMMUNICATIONS,CORPORATE COMMUNICATIONS
158,CORPORATE SUPPORT SERVICES DIRECTOR,CORPORATE SUPPORT SERVICES DIRECTOR
159,LAW SECTION,LAW SECTION
160,GENERAL MANAGERS OFFICE,GENERAL MANAGERS OFFICE
161,GENERAL OPERATIONS,GENERAL OPERATIONS
162,OCCUPATIONAL HEALTH AND SAFETY SERVICES,OCCUPATIONAL HEALTH AND SAFETY SERVICES
163,CORPORATE IMPROVEMENT SERVICES,CORPORATE IMPROVEMENT SERVICES
164,EMPLOYEE DEVELOPMENT SERVICES DIRECTOR,EMPLOYEE DEVELOPMENT SERVICES DIRECTOR
165,STATE & FEDERAL GOVT RELATIONS,STATE & FEDERAL GOVT RELATIONS
166,REGULATORY & GOVT AFFAIRS,REGULATORY & GOVT AFFAIRS
167,COMMUNITY SUPPORT,COMMUNITY SUPPORT
168,RISK MANAGEMENT - INSURANCE,RISK MANAGEMENT - INSURANCE
169,RISK CONTROL,RISK CONTROL
170,STRATEGIC PLANNING AND TECHNOLOGY,STRATEGIC PLANNING AND TECHNOLOGY
171,OFFICE OF CHIEF OPERATING OFFICER,OFFICE OF CHIEF OPERATING OFFICER
172,CORPORATE PRIORITIES,CORPORATE PRIORITIES
173,LOCAL GOVERNMENT,LOCAL GOVERNMENT
174,INVENTORY CLEARING,INVENTORY CLEARING
175,JOBBING & CONTRACTS PROJECTS,JOBBING & CONTRACTS PROJECTS
176,SYSTEM RESTORATION AND TROUBLE,SYSTEM RESTORATION AND TROUBLE
177,CONTRACT MANAGEMENT,CONTRACT MANAGEMENT
178,OFFICE OF CFO/CAO,OFFICE OF CFO/CAO
179,AE INTERNAL AUDITS,AE INTERNAL AUDITS
180,REGULATED O&M/FINANCE SUPPORT,REGULATED O&M/FINANCE SUPPORT
181,PRICING & RATE ANALYSIS,PRICING & RATE ANALYSIS
182,CIP BUDGET & FIELD SUPPORT,CIP BUDGET & FIELD SUPPORT
183,O&M BUDGET & FINANCIAL REPORTING,O&M BUDGET & FINANCIAL REPORTING
184,MATERIALS CONTROL,MATERIALS CONTROL
185,KRAMER WAREHOUSE,KRAMER WAREHOUSE
186,ST ELMO WAREHOUSE,ST ELMO WAREHOUSE
187,RECLAMATION,RECLAMATION
188,IT CIO,IT CIO
189,ENTERPRISE INFORMATION SECURITY,ENTERPRISE INFORMATION SECURITY
190,IT BUSINESS & QUALITY MANAGEMENT,IT BUSINESS & QUALITY MANAGEMENT
191,IT CUSTOMER SERVICE,IT CUSTOMER SERVICE
192,IT OPERATIONS,IT OPERATIONS
193,IT PROGRAM MANAGEMENT,IT PROGRAM MANAGEMENT
194,IT ENTERPRISE APPLICATIONS,IT ENTERPRISE APPLICATIONS
195,IT PLANNING,IT PLANNING
196,"IT APPS, DATA & WEB","IT APPS, DATA & WEB"
197,CORPORATE ACCOUNTING,CORPORATE ACCOUNTING
198,REVENUE ACCOUNTING AND ANALYSIS,REVENUE ACCOUNTING AND ANALYSIS
199,COST ACCOUNTING & AP,COST ACCOUNTING & AP
200,FINANCE BUSINESS SYS SUPPORT,FINANCE BUSINESS SYS SUPPORT
201,MAXIMO EQUIPMENT DISPOSAL,MAXIMO EQUIPMENT DISPOSAL
202,FLEET MANAGEMENT,FLEET MANAGEMENT
203,CUSTOMER SERVICES MANAGEMENT ADMIN,CUSTOMER SERVICES MANAGEMENT ADMIN
204,FINANCE CORPORATE,FINANCE CORPORATE
205,IT CORPORATE,IT CORPORATE
206,COMMISSION ON DEBT,COMMISSION ON DEBT
207,COMMERCIAL PAPER ADMIN EXP TAXABLE,COMMERCIAL PAPER ADMIN EXP TAXABLE
208,DEPRECIATION,DEPRECIATION
209,OTHER EXPENSES,OTHER EXPENSES
210,ACCRUED PAYROLL,ACCRUED PAYROLL
211,DEBT SERVICE TRANSFERS,DEBT SERVICE TRANSFERS
212,INTERFUND TRANSFERS-ELECTRIC,INTERFUND TRANSFERS-ELECTRIC
213,SCIENCE FEST,SCIENCE FEST
214,FM 812 LANDFILL CLOSURE CARE,FM 812 LANDFILL CLOSURE CARE
215,BROWNFIELDS REDEVELOPMENT,BROWNFIELDS REDEVELOPMENT
216,GRANT REVOLVING LOAN HAZARD,GRANT REVOLVING LOAN HAZARD
217,BULK COLLECTION,BULK COLLECTION
218,TRASH COLLECTION,TRASH COLLECTION
219,ON-CALL HHW COLLECTION,ON-CALL HHW COLLECTION
220,COMPOST COLLECTION,COMPOST COLLECTION
221,BRUSH COLLECTION,BRUSH COLLECTION
222,BRUSH PROCESSING,BRUSH PROCESSING
223,RECYCLING COLLECTION,RECYCLING COLLECTION
224,RESIDENTIAL STREET CLEANING,RESIDENTIAL STREET CLEANING
225,LITTER CONTROL,LITTER CONTROL
226,DEAD ANIMAL COLLECTION,DEAD ANIMAL COLLECTION
227,CLEAN CREEKS PROGRAM,CLEAN CREEKS PROGRAM
228,HOMELESSNESS,HOMELESSNESS
229,HOUSEHOLD HAZARD WASTE FACILIT,HOUSEHOLD HAZARD WASTE FACILIT
230,RESOURCE RECOVERY CENTER,RESOURCE RECOVERY CENTER
231,COMMERCIAL COMPLIANCE,COMMERCIAL COMPLIANCE
232,BUSINESS OUTREACH,BUSINESS OUTREACH
233,ZERO WASTE PROGRAM DEVELOPMENT,ZERO WASTE PROGRAM DEVELOPMENT
234,CIRCULAR ECONOMY PROGRAM,CIRCULAR ECONOMY PROGRAM
235,CART/CONTAINER MAINTENANCE,CART/CONTAINER MAINTENANCE
236,SAFETY,SAFETY
237,GEOSPATIAL INFORMATION & TECHNOLOGY,GEOSPATIAL INFORMATION & TECHNOLOGY
238,TRAINING,TRAINING
239,CUSTOMER SERVICE,CUSTOMER SERVICE
240,MULTIFAMILY,MULTIFAMILY
241,QUALITY ASSURANCE,QUALITY ASSURANCE
242,SAFETY STORE,SAFETY STORE
243,FINANCIAL SERVICES,FINANCIAL SERVICES
244,INFORMATION TECHNOLOGY SUPPORT,INFORMATION TECHNOLOGY SUPPORT
245,PUBLIC INFORMATION,PUBLIC INFORMATION
246,HANCOCK GOLF COURSE,HANCOCK GOLF COURSE
247,FACILITY EXPENSE,FACILITY EXPENSE
248,UTILITY BILLING,UTILITY BILLING
249,ADMINISTRATION AND MANAGEMENT,ADMINISTRATION AND MANAGEMENT
250,REGION 1 PATROL IDA,REGION 1 PATROL IDA
251,OTHER REQUIREMENTS OPERATING,OTHER REQUIREMENTS OPERATING
252,INTERFUND TRANSFERS-OTHER,INTERFUND TRANSFERS-OTHER
253,NEIGHBORHOOD INVESTIGATION A,NEIGHBORHOOD INVESTIGATION A
254,NEIGHBORHOOD INVESTIGATION B,NEIGHBORHOOD INVESTIGATION B
255,OPERATIONAL SUPPORT SERVICES,OPERATIONAL SUPPORT SERVICES
256,EDUCATION AND COLLABORATION,EDUCATION AND COLLABORATION
257,LICENSING & REGISTRATION COMPLIANCE,LICENSING & REGISTRATION COMPLIANCE
258,LICENSING & REGISTRATION ENFORCEMENT,LICENSING & REGISTRATION ENFORCEMENT
259,PRIVATE WASTE HAULERS,PRIVATE WASTE HAULERS
260,BILLBOARDS,BILLBOARDS
261,HOTELS AND MOTELS,HOTELS AND MOTELS
262,MOBILE HOMES,MOBILE HOMES
263,REPEAT OFFENDER PROGRAM,REPEAT OFFENDER PROGRAM
264,"CASE REVIEW, PREPARATION & ENFORCEMENT","CASE REVIEW, PREPARATION & ENFORCEMENT"
265,FINANCE,FINANCE
266,RECLAIM CIP TRANSFERS TO,RECLAIM CIP TRANSFERS TO
267,SECURITY MANAGEMENT,SECURITY MANAGEMENT
268,FACILITY SERVICES,FACILITY SERVICES
269,IT GIS,IT GIS
270,INTERNAL AUDIT,INTERNAL AUDIT
271,BUSINESS SUPPORT,BUSINESS SUPPORT
272,PURCHASING/CONTRACT ADMIN,PURCHASING/CONTRACT ADMIN
273,ACCOUNTS PAYABLE,ACCOUNTS PAYABLE
274,RECORDS & INFORMATION MGMT SERVICES,RECORDS & INFORMATION MGMT SERVICES
275,EMPLOYEE & LEADERSHIP DEVELOPMENT SUPPORT,EMPLOYEE & LEADERSHIP DEVELOPMENT SUPPORT
276,EMPLOYMENT & COMPENSATION,EMPLOYMENT & COMPENSATION
277,EMPLOYEE RELATIONS & WORKERS COMPENSATION,EMPLOYEE RELATIONS & WORKERS COMPENSATION
278,RISK MANAGEMENT,RISK MANAGEMENT
279,TALENT DEVELOPMENT,TALENT DEVELOPMENT
280,DEBT MANAGEMENT,DEBT MANAGEMENT
281,CAPITAL AND ASSET ACCOUNTING,CAPITAL AND ASSET ACCOUNTING
282,RATE AND FORECAST DEVELOPMENT,RATE AND FORECAST DEVELOPMENT
283,WAREHOUSE/STORES,WAREHOUSE/STORES
284,BUDGET & ACCOUNTING,BUDGET & ACCOUNTING
285,HVAC SERVICES,HVAC SERVICES
286,FACILITY PROGRAM MANAGEMENT,FACILITY PROGRAM MANAGEMENT
287,OFFICE OF THE CIO,OFFICE OF THE CIO
288,IT INFRASTRUCTURE,IT INFRASTRUCTURE
289,IT APPLICATIONS,IT APPLICATIONS
290,OTHER REQUIREMENTS,OTHER REQUIREMENTS
291,AUSTIN WATER DEBT TRANSFERS,AUSTIN WATER DEBT TRANSFERS
292,AMI PROGRAM,AMI PROGRAM
293,WATER DISPATCH SERVICES,WATER DISPATCH SERVICES
294,TAP SALES,TAP SALES
295,RETAIL CUSTOMER SERVICE,RETAIL CUSTOMER SERVICE
296,DATA ANALYTICS,DATA ANALYTICS
297,KEY ACCOUNTS,KEY ACCOUNTS
298,PUBLIC AFFAIRS,PUBLIC AFFAIRS
299,WATER METER MAINTENANCE,WATER METER MAINTENANCE
300,FACILITY ENGINEERING WATER,FACILITY ENGINEERING WATER
301,REGION 2 PATROL EDWARD,REGION 2 PATROL EDWARD
302,SCADA ENGINEERING & SUPPORT,SCADA ENGINEERING & SUPPORT
303,WATER PIPELINE CIP PROJECT DELIVERY,WATER PIPELINE CIP PROJECT DELIVERY
304,WATER PIPELINE OPERATIONS SUPPORT,WATER PIPELINE OPERATIONS SUPPORT
305,ENGINEERING SUPPORT AND SURVEY,ENGINEERING SUPPORT AND SURVEY
306,"WATER ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT","WATER ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT"
307,RESIDENTIAL REBATES,RESIDENTIAL REBATES
308,WATER CONSERVATION,WATER CONSERVATION
309,COMMERCIAL INCENTIVES,COMMERCIAL INCENTIVES
310,MULTIFAMILY PROGRAM,MULTIFAMILY PROGRAM
311,MUNICIPAL PROGRAM,MUNICIPAL PROGRAM
312,REICHER RANCH,REICHER RANCH
313,LAND MANAGEMENT CONSERV,LAND MANAGEMENT CONSERV
314,BALCONES CANYONLAND PRESV MGMT,BALCONES CANYONLAND PRESV MGMT
315,INFRASTRUCTURE MANAGEMENT,INFRASTRUCTURE MANAGEMENT
316,SYSTEM PLANNING,SYSTEM PLANNING
317,REGION 4 PATROL DAVID,REGION 4 PATROL DAVID
318,UTILITY DEVELOPMENT SERVICES,UTILITY DEVELOPMENT SERVICES
319,WATER OPERATIONS SUPPORT,WATER OPERATIONS SUPPORT
320,WATER LOGISTICS AND INVENTORY PLANNING,WATER LOGISTICS AND INVENTORY PLANNING
321,AIRPORT POLICE,AIRPORT POLICE
322,NEIGHBORHOOD POLICING PATROL,NEIGHBORHOOD POLICING PATROL
323,WATER ELECTRICAL MAINTENANCE,WATER ELECTRICAL MAINTENANCE
324,WATER INSTRUMENTATION & CONTROL,WATER INSTRUMENTATION & CONTROL
325,WATER ADMINISTRATIVE SERVICES,WATER ADMINISTRATIVE SERVICES
326,WATER ASSET MANAGEMENT,WATER ASSET MANAGEMENT
327,OPERATIONS TECH SHOPS,OPERATIONS TECH SHOPS
328,PUMP STATION & RESERVOIR MAINTENANCE,PUMP STATION & RESERVOIR MAINTENANCE
329,CID TEAM 2,CID TEAM 2
330,PUMP STATION & RESERVOIR OPERATIONS,PUMP STATION & RESERVOIR OPERATIONS
331,LONGHORN DAM OPERATIONS,LONGHORN DAM OPERATIONS
332,LONGHORN DAM MAINTENANCE,LONGHORN DAM MAINTENANCE
333,WATER RESPONSE SERVICES,WATER RESPONSE SERVICES
334,WATER UTILITY LINE LOCATORS,WATER UTILITY LINE LOCATORS
335,VALVES,VALVES
336,WATER VALVE EXERCISING,WATER VALVE EXERCISING
337,WATER VALVE & HYDRANT MAINTENANCE,WATER VALVE & HYDRANT MAINTENANCE
338,WATER DISTRIBUTION SYSTEM MAINTENANCE,WATER DISTRIBUTION SYSTEM MAINTENANCE
339,WATER VALVE PREVENTATIVE MAINTENANCE,WATER VALVE PREVENTATIVE MAINTENANCE
340,WATER CONSTRUCTION SERVICES,WATER CONSTRUCTION SERVICES
341,RESTORATION SERVICES,RESTORATION SERVICES
342,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT
343,DRINKING WATER LAB,DRINKING WATER LAB
344,WATER PROCESS ENGINEERING,WATER PROCESS ENGINEERING
345,NARCOTICS CONSPIRACY,NARCOTICS CONSPIRACY
346,WATER PROTECTION/INSPECTION,WATER PROTECTION/INSPECTION
347,BUILDING PLAN REVIEW - WATER PROTECTION,BUILDING PLAN REVIEW - WATER PROTECTION
348,DAVIS WTP OPERATIONS,DAVIS WTP OPERATIONS
349,DAVIS WTP MAINTENANCE,DAVIS WTP MAINTENANCE
350,ULLRICH WTP OPERATIONS,ULLRICH WTP OPERATIONS
351,ULLRICH WTP MAINTENANCE,ULLRICH WTP MAINTENANCE
352,HANDCOX WTP OPERATIONS,HANDCOX WTP OPERATIONS
353,HANDCOX WTP MAINTENANCE,HANDCOX WTP MAINTENANCE
354,UTILITY-WIDE SUPPORT,UTILITY-WIDE SUPPORT
355,ORGANIZED CRIME,ORGANIZED CRIME
356,RECLAIMED WATER CIP PROJECT DELIVERY,RECLAIMED WATER CIP PROJECT DELIVERY
357,RECLAIMED WATER DISTRIBUTION OPERATIONS,RECLAIMED WATER DISTRIBUTION OPERATIONS
358,RECLAIMED WATER DISTRIBUTION MAINTENANCE,RECLAIMED WATER DISTRIBUTION MAINTENANCE
359,EVIDENCE CONTROL,EVIDENCE CONTROL
360,FORENSICS,FORENSICS
361,WASTEWATER DISPATCH SERVICES,WASTEWATER DISPATCH SERVICES
362,ROTATING WING,ROTATING WING
363,FACILITY ENGINEERING WASTEWATER,FACILITY ENGINEERING WASTEWATER
364,WASTEWATER PIPELINE CIP PROJECT DELIVERY,WASTEWATER PIPELINE CIP PROJECT DELIVERY
365,WASTEWATER PIPELINE OPERATIONS SUPPORT,WASTEWATER PIPELINE OPERATIONS SUPPORT
366,"WASTEWATER ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT","WASTEWATER ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT"
367,CENTER FOR ENVIRONMENTAL RESEARCH,CENTER FOR ENVIRONMENTAL RESEARCH
368,ON-SITE SEWAGE FACILITIES,ON-SITE SEWAGE FACILITIES
